id;co2_ppm;tvoc_ppm;bmp280_temperature;bmp280_pressure;mlx_object_temperature;mlx_ambient_temperature;humidity_dht;temperature_dht;pir_uptime;timestamp;human_count;ventilation_on;door_closed
1;400.0;0.0;25.33;100549.44;22.75;24.41;31.0;22.4;8.29;2025-08-20 10:15:28;1;0;1
2;400.0;0.0;25.35;100550.63;22.31;24.37;31.0;22.9;9.75;2025-08-20 10:15:37;1;0;1
3;427.0;4.0;25.36;100550.11;22.41;24.37;31.0;22.9;5.56;2025-08-20 10:15:47;1;0;1
4;423.0;3.0;25.34;100549.78;22.41;24.35;31.0;22.9;0.0;2025-08-20 10:15:57;1;0;1
5;416.0;2.0;25.3;100552.23;22.29;24.31;31.0;22.9;0.0;2025-08-20 10:16:07;1;0;1
6;409.0;1.0;25.27;100550.16;22.47;24.29;31.0;22.8;2.28;2025-08-20 10:16:17;1;0;1
7;441.0;6.0;25.24;100552.25;22.47;24.33;30.0;22.9;0.0;2025-08-20 10:16:27;1;0;1
8;445.0;6.0;25.23;100552.6;22.35;24.31;30.0;22.8;0.0;2025-08-20 10:16:37;1;0;1
9;475.0;11.0;25.22;100553.16;22.43;24.29;30.0;23.0;0.0;2025-08-20 10:16:47;1;0;1
10;450.0;7.0;25.2;100550.59;22.51;24.25;31.0;22.7;0.0;2025-08-20 10:16:58;1;0;1
11;463.0;9.0;25.16;100549.29;22.53;24.27;31.0;22.8;0.0;2025-08-20 10:17:08;1;0;1
12;493.0;14.0;25.13;100549.98;22.53;24.27;31.0;22.5;2.4;2025-08-20 10:17:18;1;0;1
13;481.0;12.0;25.14;100552.86;22.57;24.27;31.0;22.6;4.26;2025-08-20 10:17:28;1;0;1
14;470.0;10.0;25.14;100550.86;22.57;24.25;31.0;22.9;4.38;2025-08-20 10:17:38;1;0;1
15;425.0;3.0;25.14;100551.42;22.51;24.25;31.0;22.5;6.07;2025-08-20 10:17:48;1;0;1
16;470.0;10.0;25.12;100550.3;22.53;24.23;31.0;22.8;2.73;2025-08-20 10:17:58;1;0;1
17;432.0;4.0;25.11;100551.41;22.63;24.25;31.0;23.0;0.0;2025-08-20 10:18:08;1;0;1
18;436.0;5.0;25.1;100550.53;22.59;24.23;31.0;22.7;0.0;2025-08-20 10:18:18;1;0;1
